Feature	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
AFFX-BioB-M_st	58.1706	15.7926	25.1962	46.5057	15.3157	16.6833	93.1759	-2.286	9.00485	13.1253	7.90277	24.6885	30.1908	27.6512	17.8083	12.1731	26.9214	40.3873	17.6882	38.31	18.0297	28.012	24.8743	17.7428	34.7923	40.2213
AFFX-BioB-3_st	257.619	113.69	187.796	210.58	137.39	104.159	296.287	110.536	123.767	165.21	172.95	124.837	133.826	125.316	132.419	101.991	204.75	265.771	317.314	88.0773	156.179	249.872	141.803	117.473	126.114	210.561
AFFX-BioC-5_st	129.056	74.6095	82.8271	101.534	83.4986	73.1986	110.631	116.742	149.329	113.737	74.9809	108.469	141.43	83.1231	54.7312	83.9226	103.289	140.76	177.441	75.8888	87.3699	130.509	91.7096	77.9277	129.627	91.7803
AFFX-BioC-3_st	61.7251	50.2372	61.671	93.2235	38.113	51.0869	69.0242	51.7352	48.4943	66.3324	65.8276	45.7015	74.9533	62.1944	84.2989	48.5502	74.191	74.7106	112.964	63.2349	37.4892	69.9946	42.8123	63.8059	50.1246	134.588
AFFX-BioDn-5_st	-40.9349	-83.9302	-28.705	-27.9979	-29.9097	-26.9004	-45.6312	-62.9474	-31.4359	-26.3253	-18.7649	-34.298	-37.9804	-43.3921	-30.5948	-37.918	-30.488	-54.5634	-49.0879	-22.5916	-21.2394	-38.734	-44.2136	-23.6993	-38.6532	-40.7251
AFFX-BioDn-3_st	284.407	208.099	239.039	236.428	152.327	159.505	316.931	152.188	182.803	275.02	217.385	162.256	199.741	179.797	195.324	182.143	144.421	316.037	269.485	148.114	193.205	294.238	197.745	203.531	181.623	234.953
AFFX-CreX-5_st	178.745	101.3	118.699	131.834	109.355	98.1799	177.533	124.795	86.0768	143.596	104.273	120.737	101.196	108.527	109.446	109.243	107.088	188.792	240.35	94.9754	104.147	168.992	109.586	106.757	90.1958	116.069
AFFX-CreX-3_st	79.7368	55.5632	68.5976	55.6881	56.396	31.3003	84.8437	33.4283	42.3172	124.882	41.7587	49.9029	45.6627	61.2552	52.2385	72.062	36.6448	94.3601	71.4727	24.3627	48.4806	79.3437	42.6647	-12.6489	37.4389	62.0706
AFFX-hum_alu_at	9903.19	8501.62	9453	8595.65	9198.53	8729.83	10085.3	5398.15	7851.25	9906.75	9269.15	7969.59	8569.94	8328.77	8663.51	9703.19	6945.46	9186.23	9889.05	8872.19	9682.71	10396.1	8365.8	9345.94	8252.65	4652.85
AFFX-DapX-5_at	61.2671	37.474	44.7525	43.902	40.5637	28.5819	49.2893	7.59488	23.629	57.0429	46.7404	30.7302	21.5053	27.2929	42.2334	33.9123	26.3551	70.3766	72.777	16.6944	36.3847	58.1014	40.3792	33.9219	23.7046	45.1485
AFFX-DapX-M_at	120.544	75.9854	126.374	90.4021	99.6214	59.8854	129.419	52.935	64.1861	101.061	59.8996	77.3764	71.6353	61.2444	88.0712	59.607	72.2323	131.602	136.208	25.9624	76.8974	104.428	68.447	84.325	46.6156	74.5315
AFFX-DapX-3_at	50.0962	27.9532	29.261	38.6436	34.4854	15.9339	55.8445	20.0904	24.7383	38.8725	17.0458	36.5985	45.2345	24.9717	24.4171	11.2079	34.9787	56.8246	46.6026	14.2291	24.4563	59.6125	22.6792	26.541	30.6529	29.4477
AFFX-LysX-5_at	42.5285	33.7186	35.842	43.8173	21.1038	26.0026	47.7015	23.8035	11.3737	40.5822	41.1433	29.1573	16.2124	23.3693	35.6076	28.1836	31.9271	40.0859	49.1144	26.7874	50.9666	27.7013	30.9739	20.4447	14.6951	33.8544
AFFX-LysX-M_at	36.8936	35.1697	36.5703	37.0274	24.0568	19.8649	57.4157	18.3142	13.9659	37.3897	19.2095	30.6495	29.3611	24.7045	39.693	29.3086	39.3662	48.3323	56.4269	18.7009	51.7285	60.7026	43.9691	12.9576	16.9243	35.2928
AFFX-LysX-3_at	234.698	102.467	97.901	146.239	127.068	65.0798	262.579	67.9807	67.9566	85.4896	113.046	108.717	155.95	80.3862	100.474	87.4065	88.351	187.831	247.966	67.1026	73.0255	189.186	104.818	129.619	91.4007	102.621
AFFX-PheX-5_at	26.9561	-2.37297	34.4333	17.5947	30.9068	19.4564	18.5628	5.85058	26.2278	-16.7811	9.25781	24.0504	17.4717	13.1025	21.742	12.4074	20.2063	40.0367	30.2897	22.4741	24.2106	37.1239	23.3193	39.302	25.4601	28.4838
AFFX-PheX-M_at	58.124	-1.69785	52.6747	55.7056	36.449	27.137	59.6477	26.2214	8.82339	58.4851	31.0843	28.6438	6.67245	14.058	30.3021	33.7019	47.751	63.2577	15.9976	9.27033	81.0265	87.2832	30.0672	32.4333	20.7603	89.5884
AFFX-PheX-3_at	40.616	34.713	82.4409	42.4596	50.3563	34.748	26.4046	35.91	25.1295	49.3878	23.1894	29.9055	25.5961	25.7586	43.7021	34.2866	39.3882	23.5424	43.3184	47.5063	47.44	32.3454	36.1116	36.6902	30.3978	-53.8352
AFFX-ThrX-5_at	125.063	98.0369	77.1769	107.861	72.3561	104.56	103.898	61.4678	95.496	74.32	80.0615	94.9414	84.4995	95.8448	116.99	60.5425	93.421	133.267	98.5873	63.1381	82.9362	129.234	96.675	94.5572	59.0705	71.216
AFFX-ThrX-M_at	49.9943	19.8722	32.2058	37.0137	38.7689	19.4119	42.146	26.795	20.6417	31.5766	22.9088	27.9779	34.4475	17.5522	23.6911	28.0745	38.4229	40.1676	52.8215	15.6287	22.7492	49.4815	24.9362	27.0847	24.7106	31.3545
AFFX-ThrX-3_at	33.1246	4.91484	24.6518	30.3256	23.3383	20.5827	42.6331	20.733	25.9931	36.5884	19.8219	16.9136	27.0618	11.7202	27.313	8.17936	24.4473	26.7121	29.895	16.4874	30.1752	39.3013	18.2112	15.2479	16.143	23.4662
AFFX-TrpnX-5_at	148.494	70.9219	118.632	118.691	82.8794	69.0769	147.797	53.9483	55.5277	127.344	64.5628	82.0327	87.2791	46.8633	84.3709	56.7914	97.0614	157.43	104.566	48.3661	86.5914	144.819	79.414	64.4091	72.0106	68.812
AFFX-TrpnX-M_at	66.6936	5.60854	60.3028	63.5276	33.5234	38.0418	60.9828	40.4661	39.5032	29.8857	1.59616	52.7458	53.0348	19.37	49.9739	43.755	48.2842	93.5228	51.2824	29.3514	36.8239	89.547	73.7415	52.7497	30.1115	38.833
AFFX-TrpnX-3_at	19.1364	20.8099	10.7195	13.9764	10.7876	3.04198	9.54646	5.0816	6.61344	16.9064	-3.92957	10.6833	22.1029	-3.87819	13.2802	1.30735	20.4114	27.2889	14.161	5.19944	14.7646	19.1634	11.4693	-2.53228	1.63297	16.6207
AFFX-HUMISGF3A/M97935_5_at	165.75	300.024	152.424	118.693	95.3272	81.5155	152.298	122.23	91.9547	129.385	106.196	104.433	83.485	97.6268	217.396	380.761	149.48	195.412	105.061	80.6699	162.673	192.314	125.129	77.664	197.797	188.116
AFFX-HUMISGF3A/M97935_MA_at	179.989	790.943	150.249	82.6372	163.14	147.757	169.078	255.646	135.592	134.197	198.033	141.173	145.652	126.247	367.256	949.318	91.9974	267.395	121.308	130.446	253.176	233.304	234.052	85.4302	499.756	312.653
AFFX-HUMISGF3A/M97935_MB_at	151.72	546.343	173.624	135.163	193.159	163.458	145.287	144.067	138.774	161.823	242.284	155.572	78.7713	151.156	332.381	873.601	99.0099	209.605	98.4066	92.6789	234.595	232.416	180.548	81.7355	352.708	309.973
AFFX-HUMISGF3A/M97935_3_at	553.87	1758.42	599.857	426.569	859.045	552.006	499.943	701.339	662.183	603.143	780.726	489.626	552.023	593.651	930.928	2133.17	489.616	582.488	449.081	991.455	516.142	691.134	780.294	981.646	1662.26	976.528
AFFX-HUMRGE/M10098_5_at	72.2579	159.484	42.4559	3.26054	11.4879	13.402	20.5481	-18.0681	-71.7969	14.8066	21.2847	-23.2247	-7.45341	12.4314	5.36648	8.94132	-47.5854	25.0043	90.946	-47.5568	3.69034	15.2424	20.5804	38.5142	6.94581	19.5267
AFFX-HUMRGE/M10098_M_at	-30.1595	-64.7658	-28.2104	-37.3464	-45.8195	-30.6321	-56.7485	-50.5899	-43.3654	-24.1965	-37.9727	-47.1546	-38.1208	-33.8106	-52.6525	-49.4911	-50.1208	-29.4005	-3.12303	-27.8809	-48.9365	-29.8916	-27.1269	-17.5833	-38.1436	-29.0792
AFFX-HUMRGE/M10098_3_at	65.1004	19.7163	39.1968	24.3987	38.9076	22.4197	67.8308	46.573	53.0483	49.6252	33.1548	36.6282	52.3868	22.1085	23.6439	13.8909	40.9994	41.4228	52.178	34.8781	65.8244	37.2982	27.4847	27.7867	53.7229	51.8841
AFFX-HUMGAPDH/M33197_5_at	1781.95	2370.97	1693	931.981	2813.41	2773.8	1331.06	3409.56	2500.59	1397.65	3225.72	3832.06	951.709	4461.43	1362.9	3635.18	2056.61	1071.56	787.855	1764.84	1617.96	1198.8	2573.87	1552.46	2323.13	5396.98
AFFX-HUMGAPDH/M33197_M_at	3311.18	3270.14	2670.94	1916	3973.08	3533.69	3001.52	3670.05	3411.11	2582.35	3930.01	4173.52	2054.2	5802.7	1763.15	4155.44	3297.7	2141.77	2671.19	3354.22	2640.46	2378.58	3477.17	3626.69	3276.53	6268.57
AFFX-HUMGAPDH/M33197_3_at	4478.99	3937.24	3822.94	2995.59	4775.69	4276.28	3922.8	4113.84	3853.04	4196.47	4756.24	4636.95	3593.47	6060.91	2298.72	5029.35	5375.36	2913.78	4881.61	5156.98	3657.65	2860.87	4471.09	5900.96	3914.43	8007.31
AFFX-HSAC07/X00351_5_at	3835.31	5529.02	2961.39	1712.31	3090.42	4859.32	4656.49	4652.41	4628.45	1871.55	5051.09	4251.54	2363.09	4086.23	3454.28	5097.63	1481.99	4131.25	1094.09	2924.77	3819.17	3879.76	4331.77	965.54	3999.14	2593.41
AFFX-HSAC07/X00351_M_at	4252.98	5758.12	3739.82	2266.59	4237.75	5339.43	5809.61	5529.77	5465.07	2697.63	5411.19	5318.93	3394.98	5676.56	3828.45	5885.63	2634.74	4546.89	1992.91	4220.09	4090.65	4507.62	5276.04	2335.83	4771.61	2792.5
AFFX-HSAC07/X00351_3_at	5449.81	5870.02	4788.63	3491.7	4789.47	6045.84	5387.85	4934.23	5404.54	3957.01	5341.82	4684.27	5280.83	5252.6	3727.14	5158.47	5005.51	3987.55	4568.23	5945.49	4454.83	4098.65	5664.37	5219.36	4448.73	3654.3
AFFX-HUMTFRR/M11507_5_at	79.7636	36.0172	82.2737	51.4973	76.4602	61.8061	84.3291	72.5007	62.1373	52.7505	48.9417	74.8463	73.6465	113.113	62.2097	76.3571	58.5187	60.5533	43.1294	54.869	74.8586	54.4923	67.9535	56.3916	81.5114	58.9553
AFFX-HUMTFRR/M11507_M_at	3.75133	20.7365	-0.597615	-8.47943	5.07097	13.5139	0.756365	21.6755	48.0582	-1.9	18.8431	10.7062	-3.59805	122.966	13.5778	40.6937	-2.27154	8.11091	-2.45485	-14.7753	30.8665	16.7083	25.6475	11.4089	13.4753	6.23455
AFFX-HUMTFRR/M11507_3_at	44.3623	54.8022	44.8314	31.2879	27.6003	64.2732	54.4841	49.6503	49.8266	33.6619	77.9987	57.8296	11.6322	423.178	56.544	129.156	49.6001	70.4294	35.8078	17.6952	115.707	98.5723	76.769	8.23804	55.5644	57.7551
AFFX-M27830_5_at	197.782	44.7054	206.137	116.343	41.1004	66.8357	73.8793	123.648	46.3265	105.523	61.1681	49.8605	39.7948	48.5391	53.5262	44.6594	104.546	91.2818	194.779	106.033	89.1666	84.3737	68.6645	45.1092	39.1224	143.242
AFFX-M27830_M_at	831.418	501.091	620.729	668.082	571.461	534.92	622.534	645.022	539.881	538.821	579.578	480.33	474.48	711.508	481.904	532.827	589.112	621.923	1149.07	752.364	506.21	596.467	569.912	590.292	489.808	721.32
AFFX-M27830_3_at	541.391	377.234	436.198	560.846	390.73	557.232	510.803	405.539	420.27	404.586	398.83	427.257	446.417	541.712	402.718	407.366	435.819	558.21	472.645	315.533	387.529	434.575	448.872	404.212	346.004	547.635
AFFX-HSAC07/X00351_3_st	117.151	128.234	84.4842	101.776	96.9881	97.7246	84.813	174.681	121.429	82.7721	87.6531	86.2199	83.9094	110.042	99.6078	150.024	197.43	86.4503	153.465	201.13	136.212	73.1467	84.3918	158.902	118.373	96.8654
AFFX-HUMGAPDH/M33197_5_st	144.719	181.278	191.682	202.534	190.287	183.791	146.505	138.473	101.841	231.526	141.597	130.797	82.0596	165.886	162.308	166.733	162.421	157.802	155.811	132.043	126.173	163.036	151.687	172.453	107.175	185.231
AFFX-HUMGAPDH/M33197_M_st	70.46	93.6398	64.3478	63.019	55.4916	74.0598	51.5387	76.3049	67.6596	65.5417	54.4746	67.4093	4.65439	76.3206	69.0339	79.4228	88.937	72.6112	78.5674	53.3268	62.8923	53.4802	70.5891	70.8063	76.3004	96.0878
AFFX-HUMGAPDH/M33197_3_st	55.4337	64.7447	79.7282	102.178	59.3796	72.8653	80.7284	41.9885	49.3447	103.837	44.0052	32.5288	25.0958	39.4698	61.0306	52.9089	59.6806	46.4297	67.3687	38.1879	40.0836	58.4489	46.049	75.0311	30.3936	57.448
AFFX-HSAC07/X00351_5_st	224.167	180.978	237.773	216.3	167.976	158.024	194.901	175.705	155.066	254.894	148.141	163.479	132.912	183.316	155.209	146.577	220.031	176.787	196.392	153.224	202.828	204.88	163.378	132.294	143.483	214.696
AFFX-HSAC07/X00351_M_st	238.342	190.311	207.319	217.761	186.738	209.394	226.182	186.137	240.654	167.249	201.392	189.271	160.376	179.084	206.509	212.089	148.895	196.865	224.741	164.918	177.232	196.61	205.215	227.772	173.181	204.236
AFFX-YEL002c/WBP1_at	130.794	67.1193	97.155	109.506	136.675	66.7261	56.4972	61.5467	30.8823	63.5263	88.0201	59.1629	46.9679	70.8899	59.7551	58.6137	145.55	92.815	103.921	84.4463	78.8619	89.4526	85.3799	40.4406	52.6598	119.729
AFFX-YEL018w/_at	54.0728	30.2595	38.0971	35.9229	30.0487	42.101	40.503	32.3343	25.8423	33.6277	15.68	33.477	21.0982	29.984	33.1553	25.1409	38.3616	50.2916	37.9265	21.762	45.8239	47.7735	20.69	32.6849	27.0883	30.2444
AFFX-YEL024w/RIP1_at	107.263	73.1682	74.1949	103.339	43.4217	45.9945	95.5123	28.5536	35.7027	82.7237	32.9481	31.8509	39.5596	36.0984	52.3652	57.365	130.29	85.7762	121.149	54.4231	79.8199	90.0391	52.4086	55.5681	48.0123	85.6485
AFFX-YEL021w/URA3_at	382.255	237.818	388.945	336.965	218.95	234.313	367.258	190.158	208.684	447.998	203.989	226.835	172.825	212.015	278.303	218.192	441.142	331.161	330.471	199.737	403.987	348.738	217.039	186.463	209.379	334.249
31307_at	36.9832	42.2591	23.294	31.0905	24.8622	12.8276	68.4181	19.6626	14.2983	22.9679	10.3677	20.3279	57.0022	10.657	16.0722	22.9141	22.7215	48.8162	44.5184	8.43104	19.3334	51.0633	28.319	15.9432	30.3679	28.3019
31308_at	22.9605	13.4121	16.9304	-15.2399	10.0734	12.8547	10.4643	1.0001	2.92394	17.0239	11.4256	7.70438	15.1321	12.9578	11.0232	9.60791	5.45075	20.6512	-25.7326	-21.5154	-4.33529	11.8902	8.98009	7.08868	2.3115	12.3808
31309_r_at	6.29927	19.1633	3.03659	-0.903413	1.39476	13.4486	5.74156	19.8489	15.392	6.46696	19.3874	17.391	6.89282	12.4452	12.9863	16.0146	0.541475	10.9181	-5.03244	24.0447	11.4801	2.31597	2.49221	9.96418	28.1439	-0.686965
31310_at	17.1529	27.1722	-0.338279	-14.1061	23.0263	17.9294	35.7209	-3.43857	7.00862	14.6832	37.8795	-17.6818	10.249	9.72711	24.7943	16.0711	-2.7933	-0.905975	12.0736	16.0306	9.01189	9.60877	7.2658	-12.0555	3.83654	8.30199
31311_at	216.932	162.563	166.482	248.735	183.237	129.778	270.832	126.72	159.539	173.033	170.047	178.158	231.956	135.855	150.402	193.675	143.731	233.632	249.667	175.385	195.923	242.327	132.225	204.795	188.775	201.313
31312_at	190.178	120.161	169.273	173.702	102.385	93.4386	183.729	113.821	77.6879	173.092	90.0128	126.103	84.717	112.589	139.517	131.629	151.581	204.266	152.511	123.68	148.046	149.534	113.424	136.208	87.3997	154.514
31313_at	113.476	84.9185	177.832	117.493	88.0268	90.2193	117.556	124.49	71.3888	236.388	109.125	106.483	162.506	100.713	94.6878	90.5224	122.392	172.993	106.064	85.9635	137.08	153.576	90.7812	67.8371	136.297	120.003
31314_at	50.7945	53.818	58.2412	59.7341	75.8551	65.7247	93.8117	48.9977	44.6516	95.0014	42.046	65.3268	105.706	43.1201	45.6489	78.5255	64.1095	103.938	91.2649	69.9593	88.7213	132.633	49.4236	47.1633	100.923	128.271
31315_at	1139.56	5154.31	600.494	658.421	3378.38	265.693	2347.97	1474.59	966.339	1603.25	389.255	192.701	368.552	65.7495	1290.84	2666.04	241.961	1614.46	163.929	838.797	1731.1	3006.34	194.233	130.277	3595.46	3949.66
31316_at	-18.287	3.74538	-3.03599	-5.98093	3.59555	2.95618	-6.84587	6.59068	18.009	-4.79112	6.18134	5.72163	20.8338	-4.33284	3.43024	1.83676	9.33198	20.4997	-15.2783	42.3079	5.7097	2.60968	-2.22783	-3.05798	7.79922	-3.90832
31317_r_at	17.2761	36.0095	0.533814	11.4078	65.0242	1.60701	-3.51601	26.293	14.3594	14.3931	51.0467	7.87614	3.34395	-0.353979	12.9193	107.723	2.84321	12.0684	22.2097	9.28645	65.7457	109.943	12.3812	15.524	187.656	1.37556
31318_at	17.7039	15.2357	10.2753	12.9648	12.96	-0.761071	16.7883	15.1744	16.2639	12.9168	22.6883	17.3802	22.629	9.78135	7.68004	8.9607	-0.0813966	15.2499	32.284	7.80179	11.6924	25.9401	2.20869	0.394058	16.3697	0.115654
31319_at	15.8655	23.9183	22.7978	24.8195	99.2189	25.1805	-6.77262	31.0988	32.865	45.525	74.2571	7.25462	16.5794	2.40246	33.7241	166.211	13.0512	37.1182	19.4569	41.7727	164.186	70.5182	11.5695	-0.575181	141.183	186.293
31320_at	123.621	95.3586	94.4468	124.794	89.2497	113.248	143.695	164.839	135.098	123.521	144.772	107.479	112.52	113.384	119.821	87.4163	137.274	133.572	90.3666	147.448	62.7575	118.336	99.7647	116.937	79.4596	120.317
31321_at	174.661	103.08	177.465	174.559	121.01	128.501	173.604	105.427	124.688	160.284	122.08	130.882	120.17	108.119	173.552	137.844	152.312	145.011	154.363	124.652	170.711	173.694	128.898	137.411	112.344	131.966
31322_at	25.4169	42.3577	28.9386	19.3623	22.2028	13.2872	25.7165	15.3515	10.4324	63.7235	3.81317	19.0447	25.3857	15.8645	34.6971	58.0048	17.9966	29.0069	-2.0974	14.7371	27.103	17.664	19.5615	15.8249	20.7649	33.6554
31323_r_at	17.0339	23.4741	18.9332	26.6189	26.8139	33.0942	22.5593	7.64309	-158.624	52.2413	26.7613	22.8006	18.5757	16.1352	31.6987	18.4808	24.0255	20.7526	28.5418	31.7192	19.0265	5.00616	35.292	27.7821	16.9782	4.97229
31324_at	102.591	92.3486	120.461	113.723	90.0344	143.403	95.8189	75.7023	77.4182	115.725	64.7226	95.6079	76.1544	77.5753	131.983	84.3373	56.6119	72.8516	56.7267	37.8179	77.2922	93.2511	94.5332	56.4698	84.3264	30.5327
31325_at	67.8606	24.4368	84.3285	84.2596	74.5531	62.9061	100.242	58.9412	52.9351	76.4369	72.9707	64.857	56.769	28.2062	85.5727	69.2211	19.8654	102.421	66.856	42.2796	43.5574	73.8148	67.4591	72.6469	44.8918	38.4677
31326_at	754.361	777.105	1208.68	730.314	679.41	472.386	875.514	426.069	541.812	647.946	642.128	540.998	710.362	550.153	621.437	501.736	602.892	734.952	807.89	488.885	689.458	848.672	554.534	793.019	629.055	695.874
31327_at	1.86526	5.41691	11.7631	8.62522	13.4006	9.46665	5.64484	22.7863	9.68571	10.8287	1.42032	2.98843	25.2881	11.4208	3.78157	-0.0219398	18.9863	10.8608	16.8584	-46.2152	17.2022	14.9824	7.66178	-3.20777	22.3966	12.178
31328_at	121.892	92.031	201.403	134.993	117.134	146.648	159.059	93.8675	110.694	196.504	107.479	104.51	104.82	108.602	162.985	110.627	128.256	148.424	107.983	132.058	158.953	104.303	125.216	166.785	99.9854	130.613
31329_at	14.5586	34.3359	16.3046	18.4485	13.4128	20.1751	12.8777	36.6998	21.3595	30.8472	27.3876	13.8843	17.9295	12.7647	18.0843	27.8748	5.18994	14.2887	20.4714	5.27287	19.0796	18.5045	14.4581	20.0154	26.0274	15.9664
31330_at	3175.57	3548.02	1820.51	2612.13	3201.35	2055.84	1445.57	3752.44	3766.64	2082.26	4332.08	3127.05	2166.34	4361.74	1465.47	3428.02	3225.78	1699.09	3460.35	4440.33	1570.76	2350.16	2937.07	3257.57	2532.94	5821.41
31331_at	40.8068	3.2361	18.7009	28.5711	23.3641	10.4128	56.5075	15.5375	11.7948	24.9831	12.988	15.1634	33.6051	18.7189	17.9788	18.2661	20.0576	40.0938	47.6155	-0.0718337	11.1243	52.1706	16.2097	27.9982	18.3218	16.7248
31332_at	18.1273	9.65582	8.06063	5.85333	-5.30554	1.51498	6.67706	-37.2626	-41.5181	7.45908	-17.4797	-20.1506	-68.8391	-6.71526	-9.77655	-0.552943	-22.8684	4.5551	-5.06083	-57.624	-47.8425	4.98633	-13.3297	-0.0363981	-23.3218	6.4599
31333_at	22.5912	9.13811	17.7927	19.1999	20.1253	7.61478	20.3672	40.972	32.1378	29.2904	27.6168	31.8186	27.5807	13.7928	19.0585	9.04877	24.0201	22.2042	36.6995	4.71695	10.6524	24.2924	8.89613	25.4436	33.7587	24.2949
31334_at	14.4076	-1.38469	4.91404	11.1325	9.54839	10.1273	16.6175	2.83778	18.3991	3.96332	25.2248	9.41495	6.22118	2.6998	4.2578	-7.55392	23.255	20.2862	25.7782	5.46426	-0.824531	15.9269	0.268704	10.4671	11.0642	9.85454
31335_at	64.5555	56.5676	64.3351	56.7737	38.7718	50.1046	71.0378	29.8097	44.214	63.3964	35.1496	62.762	87.7027	42.8679	48.7836	34.7136	52.3609	66.5785	67.9857	39.1079	67.9613	63.3791	53.3312	38.5609	56.9848	57.8458
31336_at	17.8468	1.12837	9.33222	-1.59376	-4.62199	17.1919	0.121618	7.85899	25.6868	5.05391	2.71006	2.31336	11.1385	3.04152	6.20112	-22.0775	9.78681	8.12938	-7.1937	12.6737	18.0697	4.59506	-3.18541	3.58018	14.2393	5.81503
31337_at	412.283	440.35	495.373	501.236	348.54	416.904	770.457	383.393	332.747	523.434	412.996	318.532	226.395	577.023	465.464	438.31	378.532	438.409	510.066	321.994	456.784	336.982	400.768	404.834	293.748	386.676
31338_at	8.93417	4.28296	11.3434	13.8976	13.8821	16.3986	16.0536	8.59187	20.8813	3.81431	-3.03517	15.8975	15.0665	6.81695	11.8042	8.01353	7.86409	9.16017	8.34297	9.97344	4.19371	17.333	7.91864	-4.70361	15.9607	1.52247
31339_at	-28.9985	-30.0532	-26.9727	-23.0042	-18.3141	316.922	-21.241	-14.6747	-22.3464	-26.9582	-23.2741	-31.2221	-8.00193	-33.8613	-17.8159	-10.6556	-10.9199	-26.0217	-22.6467	-17.4564	-26.2001	-22.031	-22.0276	-11.9295	-14.1471	-33.954
31340_at	28.59	16.6452	32.8212	37.1873	17.2074	31.7997	35.6843	22.0106	41.9897	25.5166	13.488	28.2393	38.6553	28.6891	36.906	11.7081	39.3368	40.6845	17.5439	26.4203	62.0666	35.598	27.0425	43.1111	29.6764	33.4058
31341_at	316.157	278.807	309.36	403.88	306.792	271.918	289	314.445	372.205	272.893	429.321	358.525	297.233	323.837	344.095	286.784	509.703	334.96	409.735	428.175	313.22	288.123	307.79	84.1063	382.133	476.008
