"AFFX-HSAC07/X00351_5_st"	-299	-155	-232	-132	-105	-105	-90	-245	-211	-399
"AFFX-HSAC07/X00351_M_st"	193	660	435	-4	133	1062	216	516	166	-52
"A28102_at"	241	430	96	65	260	91	261	555	308	472
"AB000114_at"	-38	4	31	-212	28	68	45	168	34	249
"AB000115_at"	251	131	138	1147	128	327	123	149	219	585
"AB000220_at"	98	68	40	35	46	96	51	31	167	202
"AB000409_at"	-260	181	-120	-77	0	-354	125	134	121	161
"AB000449_at"	149	70	283	285	833	190	353	372	249	275
"AB000450_at"	275	406	113	172	390	199	259	122	209	360
"AB000460_at"	2573	1963	1082	1548	2222	2867	2548	884	1128	1604
"AB000462_at"	168	81	111	239	246	102	566	175	142	197
"AB000464_at"	1151	1021	530	582	592	750	181	454	336	383
"AB000466_at"	-885	-1036	-1281	-451	-1046	-1940	-322	-990	-394	-355
"AB000467_at"	-883	-800	-703	-369	-1123	-1394	-781	-1115	-538	-872
"AB000468_at"	-106	16	272	769	1766	-170	767	247	515	258
"AB000584_at"	-685	-260	-315	-277	-420	-331	62	105	102	-297
"AB000895_at"	147	-891	-124	-365	-637	-331	-518	-490	-10	-444
"AB000896_at"	-328	114	-63	-39	-59	-633	7	-165	123	148
"AB000897_at"	-77	-23	-114	-56	-57	-247	-112	-43	111	54
"AB000905_at"	301	79	163	-27	138	185	89	182	228	139
"AB001106_at"	111	228	261	180	863	266	258	182	305	191
"AB001325_at"	1016	521	695	853	872	1839	475	898	719	781
"AB002314_at"	-60	-202	-6	8	-139	-2	145	74	103	86
"AB002315_at"	190	-8	311	195	285	44	50	185	246	210
"AB002318_at"	1233	510	1111	802	1652	2356	410	591	584	359
"AB002365_at"	207	551	13	-67	-8	141	3	64	-28	40
"AB002366_at"	0	-266	33	39	38	-58	18	-26	-163	-216
"AB002380_at"	43	-16	149	136	35	112	46	221	164	30
"AB002382_at"	767	604	176	346	583	705	403	141	60	185
"AB002409_at"	195	105	-171	102	-103	-236	82	-64	-143	-20
"AB002559_at"	1214	1080	1053	674	708	1260	1051	1747	1320	730
"AB003102_at"	461	537	868	432	1263	750	615	545	252	439
"AB003103_at"	48	187	41	92	445	91	150	93	80	63
"AB003177_at"	311	1037	887	342	1019	750	749	761	472	849
"AB003698_at"	115	175	189	159	705	279	298	199	231	148
"AB004884_at"	494	585	864	754	1655	1028	629	569	355	930
"AB006190_at"	473	859	525	542	852	948	422	771	348	489
"AC000061_cds2_at"	82	860	217	235	149	823	194	247	226	216
"AC000061_cds3_at"	-70	-77	-105	-142	-149	-138	-54	-60	-38	-93
"AC000062_at"	-14	30	-27	-27	-16	-49	14	19	-66	-81
"AC000064_cds1_at"	226	632	253	250	402	527	137	286	145	127
"AC000064_cds2_at"	111	286	84	86	218	205	167	245	40	161
"AC000066_at"	-74	-86	-19	-54	-39	-79	-73	28	34	-57
